BATTING,dismissal,R,B,4s,6s,SR,id
Shane Watson,b Mohammad Nawaz,15,27,1,0,55.55,1
Sharjeel Khan,c Mohammad Nabi b Zulfiqar Babar,10,11,0,1,90.90,1
Umar Amin,c Wright b Umar Gul,0,4,0,0,0.00,1
Babar Azam,c Mohammad Nabi b Mohammad Nawaz,15,18,1,0,83.33,1
Sam Billings †,b Mohammad Nawaz,2,4,0,0,50.00,1
Misbah-ul-Haq (c),c Umar Gul b Anwar Ali,41,28,4,1,146.42,1
Imran Khalid,c Mohammad Nabi b Mohammad Nawaz,4,6,0,0,66.66,1
Andre Russell,not out,35,20,4,2,175.00,1
Samuel Badree,not out,2,2,0,0,100.00,1
Luke Wright,not out,86,53,11,4,162.26,1
Ahmed Shehzad,c & b Imran Khalid,11,9,2,0,122.22,1
Kevin Pietersen,lbw b Imran Khalid,8,12,0,0,66.66,1
Mohammad Nawaz,not out,22,22,1,0,100.00,1
Chris Gayle,c Vince b Shoaib Malik,6,4,1,0,150.00,2
Azhar Ali (c),b Shakib Al Hasan,18,16,3,0,112.50,2
Cameron Delport,run out (Iftikhar Ahmed/Shoaib Malik),17,22,1,0,77.27,2
Sohaib Maqsood,c Bopara b Imad Wasim,22,27,0,1,81.48,2
Mohammad Rizwan †,b Sohail Tanvir,37,31,3,1,119.35,2
Dwayne Bravo,b Mohammad Amir,14,14,1,0,100.00,2
Zohaib Khan,c †Saifullah Bangash b Mohammad Amir,0,1,0,0,0.00,2
Kevon Cooper,lbw b Mohammad Amir,0,1,0,0,0.00,2
Naved Yasin,not out,2,3,0,0,66.66,2
Zafar Gohar,not out,0,1,0,0,0.00,2
Lendl Simmons,not out,62,46,8,2,134.78,2
Nauman Anwar,c Naved Yasin b Zia-ul-Haq,0,1,0,0,0.00,2
James Vince,lbw b Zafar Gohar,3,7,0,0,42.85,2
Shakib Al Hasan,c Cooper b Delport,51,35,3,3,145.71,2
Shoaib Malik (c),not out,12,7,0,2,171.42,2
Tamim Iqbal,c Watson b Russell,51,51,3,1,100.00,3
Mohammad Hafeez,c †Billings b Watson,11,9,2,0,122.22,3
Dawid Malan,c Watson b Rumman Raees,6,14,1,0,42.85,3
Kamran Akmal †,lbw b Saeed Ajmal,8,8,1,0,100.00,3
Shahid Yousaf,b Russell,16,16,1,0,100.00,3
Shahid Afridi (c),c & b Russell,16,12,1,1,133.33,3
Daren Sammy,run out (Saeed Ajmal),10,4,0,1,250.00,3
Wahab Riaz,not out,9,5,1,0,180.00,3
Junaid Khan,not out,1,1,0,0,100.00,3
Shane Watson,c Mohammad Hafeez b Wahab Riaz,28,31,4,0,90.32,3
Sharjeel Khan,b Tait,8,3,2,0,266.66,3
Babar Azam,c Mohammad Hafeez b Mohammad Asghar,0,8,0,0,0.00,3
Umar Amin,c Junaid Khan b Mohammad Asghar,4,6,0,0,66.66,3
Misbah-ul-Haq (c),c Malan b Mohammad Asghar,12,12,2,0,100.00,3
Sam Billings †,c Mohammad Asghar b Wahab Riaz,26,20,1,1,130.00,3
Ashar Zaidi,c †Kamran Akmal b Tait,2,7,0,0,28.57,3
Andre Russell,c Mohammad Asghar b Wahab Riaz,12,12,0,1,100.00,3
Imran Khalid,run out (†Kamran Akmal),4,6,0,0,66.66,3
Saeed Ajmal,not out,10,10,1,0,100.00,3
Rumman Raees,not out,4,5,0,0,80.00,3
Lendl Simmons,c Anwar Ali b Mohammad Nawaz,11,19,0,1,57.89,4
Nauman Anwar,c Zulfiqar Babar b Anwar Ali,0,1,0,0,0.00,4
James Vince,st †Sarfaraz Ahmed b Mohammad Nabi,30,33,1,1,90.90,4
Shakib Al Hasan,b Mohammad Nabi,17,13,1,0,130.76,4
Shoaib Malik (c),run out (†Sarfaraz Ahmed),37,25,4,1,148.00,4
Ravi Bopara,c sub (Saad Nasim) b Anwar Ali,40,29,3,0,137.93,4
Imad Wasim,run out (Anwar Ali),0,0,0,0,-,4
Sohail Tanvir,not out,1,1,0,0,100.00,4
Iftikhar Ahmed,not out,0,0,0,0,-,4
Luke Wright,c Nauman Anwar b Imad Wasim,47,39,4,2,120.51,4
Ahmed Shehzad,c Imad Wasim b Shakib Al Hasan,71,46,5,4,154.34,4
Kevin Pietersen,not out,29,17,1,2,170.58,4
Sarfaraz Ahmed (c)†,not out,2,2,0,0,100.00,4
Chris Gayle,b Junaid Khan,0,1,0,0,0.00,5
Azhar Ali (c),c †Kamran Akmal b Mohammad Asghar,31,41,2,0,75.60,5
Cameron Delport,run out (Shahid Yousuf),0,2,0,0,0.00,5
Mohammad Rizwan †,c †Kamran Akmal b Tait,4,4,1,0,100.00,5
Umar Akmal,c †Kamran Akmal b Mohammad Asghar,21,26,4,0,80.76,5
Dwayne Bravo,c †Kamran Akmal b Wahab Riaz,32,31,2,1,103.22,5
Hammad Azam,not out,18,11,2,0,163.63,5
Zohaib Khan,not out,5,4,0,0,125.00,5
Tamim Iqbal,not out,55,47,7,0,117.02,5
Mohammad Hafeez,st †Mohammad Rizwan b Mendis,43,37,3,3,116.21,5
Dawid Malan,not out,10,12,0,0,83.33,5
Shane Watson,lbw b Imad Wasim,13,14,0,1,92.85,6
Sharjeel Khan,c Imad Wasim b Mohammad Amir,28,27,3,0,103.70,6
Khalid Latif,b Bopara,39,35,1,2,111.42,6
Ashar Zaidi,run out (Bopara),6,9,0,0,66.66,6
Andre Russell,c & b Usama Mir,2,6,0,0,33.33,6
Misbah-ul-Haq (c),c Shakib Al Hasan b Bopara,4,6,0,0,66.66,6
Sam Billings †,run out (Vince),4,2,1,0,200.00,6
Imran Khalid,run out (†Saifullah Bangash/Mohammad Amir),12,12,0,1,100.00,6
Mohammad Sami,not out,20,9,2,1,222.22,6
Saeed Ajmal,not out,0,0,0,0,-,6
Lendl Simmons,run out (Ashar Zaidi/†Billings),1,3,0,0,33.33,6
James Vince,lbw b Saeed Ajmal,2,11,0,0,18.18,6
Imad Wasim,c †Billings b Russell,29,17,6,0,170.58,6
Shoaib Malik (c),b Mohammad Sami,6,11,0,0,54.54,6
Shakib Al Hasan,c Imran Khalid b Saeed Ajmal,20,22,1,0,90.90,6
Iftikhar Ahmed,c Sharjeel Khan b Rumman Raees,19,20,1,0,95.00,6
Ravi Bopara,not out,32,19,2,2,168.42,6
Saifullah Bangash †,c Imran Khalid b Saeed Ajmal,0,1,0,0,0.00,6
Sohail Tanvir,run out (Rumman Raees),1,4,0,0,25.00,6
Usama Mir,run out (†Billings),10,9,1,0,111.11,6
Mohammad Amir,not out,5,4,1,0,125.00,6
Tamim Iqbal,c Mohammad Nabi b Mohammad Nawaz,14,19,1,0,73.68,7
Mohammad Hafeez,c Chigumbura b Mohammad Nawaz,10,10,0,0,100.00,7
Dawid Malan,c †Sarfaraz Ahmed b Umar Gul,18,21,1,1,85.71,7
Kamran Akmal †,c Mohammad Nawaz b Zulfiqar Babar,6,8,0,0,75.00,7
Shahid Yousaf,c & b Mohammad Nawaz,21,25,1,0,84.00,7
Shahid Afridi (c),c Zulfiqar Babar b Umar Gul,0,2,0,0,0.00,7
Daren Sammy,c Mohammad Nawaz b Anwar Ali,48,31,1,4,154.83,7
Wahab Riaz,not out,10,4,1,0,250.00,7
Junaid Khan,not out,0,0,0,0,-,7
Luke Wright,b Shahid Afridi,16,16,2,0,100.00,7
Ahmed Shehzad,c †Kamran Akmal b Tait,16,11,1,1,145.45,7
Kevin Pietersen,c Shahid Afridi b Junaid Khan,35,29,2,1,120.68,7
Sarfaraz Ahmed (c)†,c Malan b Shahid Afridi,21,24,2,0,87.50,7
Mohammad Nawaz,c Malan b Wahab Riaz,4,4,1,0,100.00,7
Akbar-ur-Rehman,st †Kamran Akmal b Mohammad Asghar,11,11,1,0,100.00,7
Mohammad Nabi,c †Kamran Akmal b Wahab Riaz,9,9,1,0,100.00,7
Elton Chigumbura,not out,7,8,1,0,87.50,7
Anwar Ali,not out,10,7,0,1,142.85,7
Azhar Ali (c),c Akbar-ur-Rehman b Umar Gul,20,21,2,1,95.23,8
Cameron Delport,lbw b Zulfiqar Babar,73,55,8,3,132.72,8
Umar Akmal,c Akbar-ur-Rehman b Anwar Ali,93,40,6,8,232.50,8
Dwayne Bravo,not out,5,5,0,0,100.00,8
Hammad Azam,not out,0,0,0,0,-,8
Luke Wright,c Cooper b Zafar Gohar,4,8,0,0,50.00,8
Ahmed Shehzad,b Cooper,15,11,3,0,136.36,8
Kevin Pietersen,c Cooper b Bravo,12,7,1,1,171.42,8
Mohammad Nawaz,st †Mohammad Rizwan b Mendis,42,34,5,1,123.52,8
Sarfaraz Ahmed (c)†,st †Mohammad Rizwan b Zohaib Khan,31,19,3,1,163.15,8
Mohammad Nabi,c Umar Akmal b Zafar Gohar,6,6,0,0,100.00,8
Elton Chigumbura,c Azhar Ali b Mendis,3,4,0,0,75.00,8
Akbar-ur-Rehman,st †Mohammad Rizwan b Zafar Gohar,3,4,0,0,75.00,8
Anwar Ali,c Zafar Gohar b Mendis,3,3,0,0,100.00,8
Umar Gul,c Umar Akmal b Zafar Gohar,0,1,0,0,0.00,8
Zulfiqar Babar,not out,1,1,0,0,100.00,8
