BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,id
Anwar Ali,3,1,21,1,7.00,11,4,0.0,2.0,0.0,1
Zulfiqar Babar,4,0,36,1,9.00,9,2,2.0,0.0,0.0,1
Mohammad Nabi,4,0,20,0,5.00,15,0,1.0,1.0,0.0,1
Umar Gul,3,0,30,1,10.00,8,4,1.0,1.0,0.0,1
Mohammad Nawaz,4,0,13,4,3.25,12,0,0.0,0.0,0.0,1
Akbar-ur-Rehman,2,0,8,0,4.00,4,0,0.0,0.0,0.0,1
Mohammad Irfan,3,0,33,0,11.00,6,3,2.0,0.0,0.0,1
Samuel Badree,3,0,25,0,8.33,6,4,0.0,0.0,0.0,1
Andre Russell,2,0,31,0,15.50,3,5,1.0,0.0,0.0,1
Imran Khalid,4,0,20,2,5.00,12,1,1.0,0.0,0.0,1
Rumman Raees,2,0,8,0,4.00,7,0,0.0,2.0,0.0,1
Shane Watson,2,0,13,0,6.50,5,1,0.0,1.0,0.0,1
Shoaib Malik,3,0,16,1,5.33,8,1,0.0,1.0,0.0,2
Mohammad Amir,4,0,27,3,6.75,12,4,0.0,1.0,0.0,2
Shakib Al Hasan,4,0,26,1,6.50,6,2,0.0,1.0,0.0,2
Sohail Tanvir,4,0,19,1,4.75,9,0,0.0,2.0,0.0,2
Imad Wasim,4,0,28,1,7.00,12,2,2.0,0.0,0.0,2
Ravi Bopara,1,0,6,0,6.00,2,0,0.0,0.0,0.0,2
Zia-ul-Haq,2,0,7,1,3.50,8,0,0.0,1.0,0.0,2
Zafar Gohar,3,0,29,1,9.66,9,3,2.0,0.0,0.0,2
Dwayne Bravo,2,0,27,0,13.50,4,4,1.0,1.0,0.0,2
Kevon Cooper,1,0,14,0,14.00,3,1,1.0,0.0,1.0,2
Zohaib Khan,4,0,27,0,6.75,11,2,1.0,0.0,0.0,2
Azhar Ali,2,0,12,0,6.00,3,1,0.0,0.0,0.0,2
Cameron Delport,1.5,0,15,1,8.18,6,0,2.0,0.0,0.0,2
Andre Russell,4,0,31,3,7.75,11,3,0.0,5.0,0.0,3
Shane Watson,4,0,37,1,9.25,6,3,1.0,0.0,0.0,3
Saeed Ajmal,4,0,19,1,4.75,14,3,0.0,0.0,0.0,3
Rumman Raees,4,0,14,1,3.50,12,0,0.0,1.0,0.0,3
Ashar Zaidi,4,0,37,0,9.25,5,1,2.0,0.0,0.0,3
Shaun Tait,4,0,24,2,6.00,17,2,1.0,2.0,0.0,3
Junaid Khan,4,0,30,0,7.50,12,4,1.0,1.0,0.0,3
Mohammad Asghar,4,0,20,3,5.00,12,1,0.0,2.0,0.0,3
