,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,id
0,United,Gladiators,Gladiators,8 wickets,Dubai (DSC),"Feb 4, 2016",Twenty20,1
1,Kings,Qalandars,Kings,7 wickets,Dubai (DSC),"Feb 5, 2016",Twenty20,2
2,Zalmi,United,Zalmi,24 runs,Dubai (DSC),"Feb 5, 2016",Twenty20,3
3,Gladiators,Kings,Gladiators,8 wickets,Dubai (DSC),"Feb 6, 2016",Twenty20,4
4,Qalandars,Zalmi,Zalmi,9 wickets,Dubai (DSC),"Feb 6, 2016",Twenty20,5
5,United,Kings,United,2 runs,Dubai (DSC),"Feb 7, 2016",Twenty20,6
6,Gladiators,Zalmi,Gladiators,3 wickets,Dubai (DSC),"Feb 7, 2016",Twenty20,7
7,Qalandars,Gladiators,Qalandars,63 runs,Dubai (DSC),"Feb 8, 2016",Twenty20,8
8,United,Qalandars,United,8 wickets,Sharjah,"Feb 10, 2016",Twenty20,9
9,Kings,Zalmi,Zalmi,3 runs,Sharjah,"Feb 11, 2016",Twenty20,10
10,United,Gladiators,Gladiators,7 wickets,Sharjah,"Feb 11, 2016",Twenty20,11
11,Kings,Qalandars,Kings,27 runs,Sharjah,"Feb 12, 2016",Twenty20,12
12,United,Zalmi,Zalmi,7 wickets,Sharjah,"Feb 12, 2016",Twenty20,13
13,Kings,Gladiators,Gladiators,5 wickets,Sharjah,"Feb 13, 2016",Twenty20,14
14,Qalandars,Zalmi,Qalandars,4 runs,Sharjah,"Feb 13, 2016",Twenty20,15
15,United,Kings,United,5 wickets,Sharjah,"Feb 14, 2016",Twenty20,16
16,Gladiators,Zalmi,Zalmi,8 wickets,Sharjah,"Feb 14, 2016",Twenty20,17
17,Qalandars,Gladiators,Gladiators,2 wickets,Dubai (DSC),"Feb 16, 2016",Twenty20,18
18,Kings,Zalmi,Zalmi,5 wickets,Dubai (DSC),"Feb 17, 2016",Twenty20,19
19,United,Qalandars,United,5 wickets,Dubai (DSC),"Feb 17, 2016",Twenty20,20
20,Zalmi,Gladiators,Gladiators,1 run,Dubai (DSC),"Feb 19, 2016",Twenty20,21
21,United,Kings,United,9 wickets,Dubai (DSC),"Feb 20, 2016",Twenty20,22
22,United,Zalmi,United,50 runs,Dubai (DSC),"Feb 21, 2016",Twenty20,23
23,United,Gladiators,United,6 wickets,Dubai (DSC),"Feb 23, 2016",Twenty20,24
24,United,Zalmi,United,7 wickets,Dubai (DSC),"Feb 9, 2017",Twenty20,25
25,Qalandars,Gladiators,Gladiators,8 runs,Dubai (DSC),"Feb 10, 2017",Twenty20,26
26,Kings,Zalmi,Zalmi,7 wickets,Dubai (DSC),"Feb 10, 2017",Twenty20,27
27,United,Qalandars,Qalandars,6 wickets,Dubai (DSC),"Feb 11, 2017",Twenty20,28
28,Kings,Gladiators,Gladiators,7 wickets,Dubai (DSC),"Feb 11, 2017",Twenty20,29
29,Qalandars,Zalmi,Zalmi,3 wickets,Dubai (DSC),"Feb 12, 2017",Twenty20,30
30,United,Gladiators,United,5 wickets,Sharjah,"Feb 15, 2017",Twenty20,31
31,Kings,Qalandars,Qalandars,7 runs,Sharjah,"Feb 16, 2017",Twenty20,32
32,Zalmi,Gladiators,no result,-,Sharjah,"Feb 17, 2017",Twenty20,33
33,United,Kings,Kings,8 runs,Sharjah,"Feb 17, 2017",Twenty20,34
34,Qalandars,Gladiators,Gladiators,5 wickets,Sharjah,"Feb 18, 2017",Twenty20,35
35,United,Zalmi,United,5 wickets,Sharjah,"Feb 18, 2017",Twenty20,36
36,Kings,Zalmi,Kings,9 runs,Sharjah,"Feb 19, 2017",Twenty20,37
